  n   l   vn0     vn1    5vn2     r01     r01w      r10       r10w     mr01    11mr10   br01     br10      r02     15r02w    sr02     sr02w    r02th    19r13    r13w     r13th    sr02th   nu3     delf0     df1     df2     df3
   8 176 1262.72 1328.86 1393.77   0.3630   0.0002   0.1159   0.0001   0.0393   0.0414   0.0393   0.0414   0.0103   0.0003   0.0004   0.0003   0.0879   0.0184   0.0000   0.1592   0.0086 1451.02     0.59     0.78     1.71     0.98
   9 176 1406.71 1472.04 1535.05   0.0404   0.0006   0.0382   0.0004   0.0408   0.0389   0.0408   0.0389   0.0832   0.0006   0.0165   0.0009   0.0898   0.1524   0.0005   0.1537   0.0162 1591.55     0.77     0.81     0.81     1.08
  10 176 1547.63 1611.70 1673.60   0.0370   0.0003   0.0367   0.0003   0.0385   0.0387   0.0385   0.0387   0.0885   0.0003   0.0185   0.0006   0.0893   0.1514   0.0004   0.1520   0.0155 1729.09     0.69     1.03     0.94     0.94
  11 176 1685.85 1748.44 1809.23   0.0379   0.0003   0.0380   0.0002   0.0392   0.0383   0.0392   0.0383   0.0870   0.0003   0.0122   0.0005   0.0886   0.1479   0.0004   0.1484   0.0133 1865.29     0.72     0.84     1.09     1.16
  12 176 1821.25 1884.14 1944.87   0.0365   0.0002   0.0349   0.0002   0.0366   0.0354   0.0366   0.0354   0.0875   0.0002   0.0161   0.0004   0.0888   0.1458   0.0003   0.1474   0.0159 2001.26     0.93     0.95     0.95     1.20
  13 176 1956.60 2019.74 2080.99   0.0340   0.0002   0.0341   0.0002   0.0350   0.0350   0.0350   0.0350   0.0860   0.0002   0.0154   0.0004   0.0867   0.1441   0.0003   0.1452   0.0139 2137.77     0.85     1.08     1.11     1.03
  14 176 2092.53 2155.93 2216.66   0.0338   0.0002   0.0327   0.0001   0.0339   0.0319   0.0339   0.0319   0.0839   0.0002   0.0178   0.0004   0.0849   0.1400   0.0003   0.1409   0.0196 2273.52     0.99     0.88     1.02     1.12
  15 176 2227.78 2291.12 2351.60   0.0312   0.0001   0.0295   0.0001   0.0307   0.0300   0.0307   0.0300   0.0821   0.0002   0.0220   0.0003   0.0822   0.1368   0.0003   0.1385   0.0212 2407.65     1.01     0.90     0.68     0.63
  16 176 2362.27 2425.10 2485.50   0.0294   0.0001   0.0294   0.0001   0.0301   0.0295   0.0301   0.0295   0.0787   0.0002   0.0185   0.0003   0.0793   0.1344   0.0003   0.1350   0.0182 2541.71     0.56     0.50     0.40     0.20
  17 176 2495.87 2559.24 2619.88   0.0287   0.0001   0.0275   0.0001   0.0281   0.0268   0.0281   0.0268   0.0774   0.0002   0.0186   0.0003   0.0776   0.1310   0.0003   0.1322   0.0203 2676.23     0.35    -0.03    -0.17    -0.19
  18 176 2629.92 2693.85 2755.32   0.0264   0.0001   0.0258   0.0001   0.0262   0.0263   0.0262   0.0263   0.0748   0.0002   0.0192   0.0003   0.0749   0.1280   0.0002   0.1295   0.0183 2811.46    -0.22    -0.44    -0.78    -0.99
  19 176 2765.11 2829.41 2891.08   0.0255   0.0001   0.0251   0.0001   0.0260   0.0249   0.0260   0.0249   0.0719   0.0002   0.0193   0.0003   0.0724   0.1244   0.0002   0.1250   0.0194 2947.07    -0.90    -1.18    -1.43    -1.74
  20 176 2900.57 2965.39 3027.30   0.0242   0.0001   0.0230   0.0001   0.0238   0.0230   0.0238   0.0230   0.0700   0.0002   0.0211   0.0003   0.0700   0.1207   0.0002   0.1219   0.0214 3082.43    -1.48    -2.01    -2.48    -2.71
  21 176 3036.44 3101.21 3163.49   0.0225   0.0001   0.0222   0.0001   0.0232   0.0231   0.0232   0.0231   0.0668   0.0002   0.0200   0.0003   0.0672   0.1172   0.0002   0.1183   0.0183 3217.90    -2.62    -2.97    -3.53    -3.94
  22 176 3172.37 3237.45 3299.80   0.0219   0.0001   0.0212   0.0001   0.0225   0.0214   0.0225   0.0214   0.0647   0.0002   0.0190   0.0004   0.0653   0.1135   0.0002   0.1145   0.0200 3353.68    -3.69    -4.23    -4.61    -4.93
  23 176 3308.39 3373.86 3436.76   0.0203   0.0002   0.0198   0.0002   0.0207   0.0207   0.0207   0.0207   0.0623   0.0002   0.0205   0.0004   0.0631   0.1103   0.0003   0.1118   0.0189 3489.70    -4.80    -5.24    -5.89    -6.19
  24 176 3445.09 3510.68 3573.87   0.0197   0.0002   0.0194   0.0002   0.0208   0.0203   0.0208   0.0203   0.0607   0.0003   0.0184   0.0006   0.0609   0.1077   0.0005   0.1081   0.0176 3626.28    -6.00    -6.37    -6.84    -7.34
  25 176 3581.98 3648.04 3711.39   0.0189   0.0003   0.0184   0.0003   0.0194   0.0186   0.0194   0.0186   0.0579   0.0004   0.0183   0.0008   0.0592   0.1041   0.0007   0.1049   0.0198 3762.99    -7.08    -7.58    -7.86    -8.38
  26 176 3719.22 3785.40 3849.17   0.0181   0.0004   0.0178   0.0004   0.0185   0.0186   0.0185   0.0186   0.0555   0.0006   0.0184   0.0010   0.0571   0.1016   0.0011   0.1021   0.0176 3900.63    -8.13    -8.56    -9.09    -8.90
  27 176 3856.78 3923.14 3986.94   0.0179   0.0005   0.0181   0.0006   0.0183   0.0174   0.0183   0.0174   0.0543   0.0009   0.0153   0.0014   0.0553   0.0934   0.0019   0.0988   0.0185 4058.16    -9.29    -9.75    -9.74    10.44
  28 176 3994.32 4061.00 4125.05   0.0198   0.0008   0.0253   0.0014   0.0167   0.0164   0.0167   0.0164   0.0525   0.0012  -0.0037   0.0017   0.0536  -0.0558   0.0196   0.0963   0.0190 4216.58    -9.94   -10.49    -7.90    30.62
  29 176 4132.19 4198.85 4263.11   0.0320   0.0020   0.0353   0.0037   0.0165   0.0163   0.0165   0.0163   0.0458   0.0025  -0.0264   0.0031   0.0518  -0.2128   0.0116   0.0934   0.0173 4323.96    -8.66   -11.41    -8.14    -0.47
  30 176 4270.05 4336.97 4401.26  -3.9459   0.0286 -11.6929   0.0356   0.0156   0.0149   0.0156   0.0149   0.0495   0.0068  31.3580   0.0952   0.0504   0.0256   0.0033   0.0908   0.0189    0.00    -8.23    -9.43 -4401.26 -4462.75
