  n   l   vn0     vn1    5vn2     r01     r01w      r10       r10w     mr01    11mr10   br01     br10      r02     15r02w    sr02     sr02w    r02th    19r13    r13w     r13th    sr02th   nu3     delf0     df1     df2     df3
   8 175 1263.34 1329.61 1394.60   0.3630   0.0002   0.1159   0.0001   0.0390   0.0409   0.0390   0.0409   0.0103   0.0003   0.0004   0.0003   0.0875   0.0184   0.0000   0.1582   0.0089 1451.02    -0.03     0.03     0.88     0.14
   9 175 1407.41 1472.71 1535.89   0.0404   0.0006   0.0382   0.0004   0.0407   0.0392   0.0407   0.0392   0.0832   0.0006   0.0165   0.0009   0.0889   0.1524   0.0005   0.1526   0.0148 1591.55     0.07     0.14    -0.03     0.12
  10 175 1548.39 1612.48 1674.43   0.0370   0.0003   0.0367   0.0003   0.0386   0.0384   0.0386   0.0384   0.0885   0.0003   0.0185   0.0006   0.0887   0.1514   0.0004   0.1507   0.0154 1729.09    -0.06     0.25     0.11    -0.02
  11 175 1686.57 1749.29 1810.26   0.0379   0.0003   0.0380   0.0002   0.0388   0.0380   0.0388   0.0380   0.0870   0.0003   0.0122   0.0005   0.0879   0.1479   0.0004   0.1475   0.0128 1865.29     0.00    -0.01     0.06     0.03
  12 175 1822.17 1885.11 1946.03   0.0365   0.0002   0.0349   0.0002   0.0366   0.0354   0.0366   0.0354   0.0875   0.0002   0.0161   0.0004   0.0878   0.1458   0.0003   0.1461   0.0149 2001.26     0.01    -0.02    -0.21    -0.15
  13 175 1957.67 2020.95 2082.32   0.0340   0.0002   0.0341   0.0002   0.0348   0.0346   0.0348   0.0346   0.0860   0.0002   0.0154   0.0004   0.0860   0.1441   0.0003   0.1439   0.0140 2137.77    -0.22    -0.13    -0.22    -0.44
  14 175 2093.76 2157.27 2218.22   0.0338   0.0002   0.0327   0.0001   0.0336   0.0318   0.0336   0.0318   0.0839   0.0002   0.0178   0.0004   0.0840   0.1400   0.0003   0.1398   0.0188 2273.52    -0.24    -0.46    -0.54    -0.60
  15 175 2229.24 2292.70 2353.38   0.0312   0.0001   0.0295   0.0001   0.0307   0.0299   0.0307   0.0299   0.0821   0.0002   0.0220   0.0003   0.0814   0.1368   0.0003   0.1372   0.0205 2407.65    -0.45    -0.68    -1.09    -1.38
  16 175 2363.96 2427.00 2487.66   0.0294   0.0001   0.0294   0.0001   0.0298   0.0292   0.0298   0.0292   0.0787   0.0002   0.0185   0.0003   0.0786   0.1344   0.0003   0.1338   0.0178 2541.71    -1.13    -1.40    -1.76    -2.17
  17 175 2497.93 2561.49 2622.41   0.0287   0.0001   0.0275   0.0001   0.0280   0.0268   0.0280   0.0268   0.0774   0.0002   0.0186   0.0003   0.0767   0.1310   0.0003   0.1309   0.0195 2676.23    -1.72    -2.28    -2.70    -2.98
  18 175 2632.37 2696.51 2758.22   0.0264   0.0001   0.0258   0.0001   0.0261   0.0261   0.0261   0.0261   0.0748   0.0002   0.0192   0.0003   0.0741   0.1280   0.0002   0.1281   0.0181 2811.46    -2.67    -3.10    -3.68    -4.13
  19 175 2767.91 2832.43 2894.38   0.0255   0.0001   0.0251   0.0001   0.0257   0.0248   0.0257   0.0248   0.0719   0.0002   0.0193   0.0003   0.0715   0.1244   0.0002   0.1239   0.0188 2947.07    -3.70    -4.20    -4.73    -5.28
  20 175 2903.79 2968.80 3030.97   0.0242   0.0001   0.0230   0.0001   0.0237   0.0229   0.0237   0.0229   0.0700   0.0002   0.0211   0.0003   0.0692   0.1207   0.0002   0.1206   0.0208 3082.43    -4.70    -5.42    -6.15    -6.67
  21 175 3040.03 3105.07 3167.61   0.0225   0.0001   0.0222   0.0001   0.0229   0.0228   0.0229   0.0228   0.0668   0.0002   0.0200   0.0003   0.0665   0.1172   0.0002   0.1171   0.0183 3217.90    -6.21    -6.83    -7.64    -8.31
  22 175 3176.40 3241.70 3304.35   0.0219   0.0001   0.0212   0.0001   0.0222   0.0212   0.0222   0.0212   0.0647   0.0002   0.0190   0.0004   0.0645   0.1135   0.0002   0.1134   0.0194 3353.68    -7.72    -8.48    -9.16    -9.76
  23 175 3312.86 3378.57 3441.69   0.0203   0.0002   0.0198   0.0002   0.0205   0.0203   0.0205   0.0203   0.0623   0.0002   0.0205   0.0004   0.0623   0.1103   0.0003   0.1106   0.0189 3489.70    -9.27    -9.95   -10.82   -11.41
  24 175 3449.93 3515.80 3579.24   0.0197   0.0002   0.0194   0.0002   0.0203   0.0199   0.0203   0.0199   0.0607   0.0003   0.0184   0.0006   0.0601   0.1077   0.0005   0.1070   0.0177 3626.28   -10.84   -11.49   -12.21   -12.95
  25 175 3587.25 3653.52 3717.13   0.0189   0.0003   0.0184   0.0003   0.0191   0.0183   0.0191   0.0183   0.0579   0.0004   0.0183   0.0008   0.0583   0.1041   0.0007   0.1038   0.0194 3762.99   -12.35   -13.06   -13.60   -14.41
  26 175 3724.86 3791.31 3855.28   0.0181   0.0004   0.0178   0.0004   0.0181   0.0180   0.0181   0.0180   0.0555   0.0006   0.0184   0.0010   0.0562   0.1016   0.0011   0.1010   0.0179 3900.63   -13.77   -14.47   -15.20   -15.26
