  n   l   vn0     vn1    5vn2     r01     r01w      r10       r10w     mr01    11mr10   br01     br10      r02     15r02w    sr02     sr02w    r02th    19r13    r13w     r13th    sr02th   nu3     delf0     df1     df2     df3
   8 175 1263.22 1329.44 1394.42   0.3630   0.0002   0.1159   0.0001   0.0392   0.0411   0.0392   0.0411   0.0103   0.0003   0.0004   0.0003   0.0875   0.0184   0.0000   0.1583   0.0085 1451.02     0.09     0.20     1.06     0.31
   9 175 1407.26 1472.57 1535.72   0.0404   0.0006   0.0382   0.0004   0.0408   0.0391   0.0408   0.0391   0.0832   0.0006   0.0165   0.0009   0.0891   0.1524   0.0005   0.1527   0.0151 1591.55     0.22     0.28     0.14     0.33
  10 175 1548.22 1612.29 1674.24   0.0370   0.0003   0.0367   0.0003   0.0386   0.0385   0.0386   0.0385   0.0885   0.0003   0.0185   0.0006   0.0887   0.1514   0.0004   0.1508   0.0152 1729.09     0.11     0.44     0.30     0.19
  11 175 1686.39 1749.07 1809.97   0.0379   0.0003   0.0380   0.0002   0.0389   0.0380   0.0389   0.0380   0.0870   0.0003   0.0122   0.0005   0.0879   0.1479   0.0004   0.1474   0.0129 1865.29     0.17     0.21     0.35     0.35
  12 175 1821.89 1884.80 1945.66   0.0365   0.0002   0.0349   0.0002   0.0365   0.0354   0.0365   0.0354   0.0875   0.0002   0.0161   0.0004   0.0879   0.1458   0.0003   0.1463   0.0151 2001.26     0.29     0.29     0.16     0.30
  13 175 1957.30 2020.49 2081.81   0.0340   0.0002   0.0341   0.0002   0.0349   0.0348   0.0349   0.0348   0.0860   0.0002   0.0154   0.0004   0.0860   0.1441   0.0003   0.1439   0.0138 2137.77     0.15     0.33     0.29     0.13
  14 175 2093.24 2156.67 2217.51   0.0338   0.0002   0.0327   0.0001   0.0337   0.0318   0.0337   0.0318   0.0839   0.0002   0.0178   0.0004   0.0841   0.1400   0.0003   0.1398   0.0191 2273.52     0.28     0.14     0.17     0.21
  15 175 2228.51 2291.87 2352.43   0.0312   0.0001   0.0295   0.0001   0.0306   0.0298   0.0306   0.0298   0.0821   0.0002   0.0220   0.0003   0.0814   0.1368   0.0003   0.1373   0.0207 2407.65     0.28     0.15    -0.15    -0.28
  16 175 2362.99 2425.87 2486.37   0.0294   0.0001   0.0294   0.0001   0.0299   0.0293   0.0299   0.0293   0.0787   0.0002   0.0185   0.0003   0.0785   0.1344   0.0003   0.1338   0.0178 2541.71    -0.16    -0.27    -0.47    -0.75
  17 175 2496.63 2560.03 2620.78   0.0287   0.0001   0.0275   0.0001   0.0280   0.0267   0.0280   0.0267   0.0774   0.0002   0.0186   0.0003   0.0768   0.1310   0.0003   0.1310   0.0197 2676.23    -0.41    -0.82    -1.07    -1.19
  18 175 2630.71 2694.69 2756.24   0.0264   0.0001   0.0258   0.0001   0.0260   0.0260   0.0260   0.0260   0.0748   0.0002   0.0192   0.0003   0.0741   0.1280   0.0002   0.1282   0.0181 2811.46    -1.01    -1.28    -1.70    -1.99
  19 175 2765.91 2830.25 2892.01   0.0255   0.0001   0.0251   0.0001   0.0257   0.0247   0.0257   0.0247   0.0719   0.0002   0.0193   0.0003   0.0715   0.1244   0.0002   0.1239   0.0190 2947.07    -1.70    -2.02    -2.36    -2.75
  20 175 2901.39 2966.23 3028.20   0.0242   0.0001   0.0230   0.0001   0.0236   0.0228   0.0236   0.0228   0.0700   0.0002   0.0211   0.0003   0.0692   0.1207   0.0002   0.1207   0.0210 3082.43    -2.30    -2.85    -3.38    -3.70
