  n   l   vn0     vn1    5vn2     r01     r01w      r10       r10w     mr01    11mr10   br01     br10      r02     15r02w    sr02     sr02w    r02th    19r13    r13w     r13th    sr02th   nu3     delf0     df1     df2     df3
   8 175 1263.26 1329.56 1394.55   0.3630   0.0002   0.1159   0.0001   0.0387   0.0407   0.0387   0.0407   0.0103   0.0003   0.0004   0.0003   0.0873   0.0184   0.0000   0.1584   0.0090 1451.02     0.05     0.09     0.93     0.17
   9 175 1407.34 1472.69 1535.84   0.0404   0.0006   0.0382   0.0004   0.0405   0.0388   0.0405   0.0388   0.0832   0.0006   0.0165   0.0009   0.0888   0.1524   0.0005   0.1526   0.0153 1591.55     0.14     0.16     0.02     0.17
  10 175 1548.30 1612.43 1674.40   0.0370   0.0003   0.0367   0.0003   0.0383   0.0382   0.0383   0.0382   0.0885   0.0003   0.0185   0.0006   0.0884   0.1514   0.0004   0.1507   0.0155 1729.09     0.03     0.30     0.14     0.03
  11 175 1686.50 1749.20 1810.13   0.0379   0.0003   0.0380   0.0002   0.0387   0.0379   0.0387   0.0379   0.0870   0.0003   0.0122   0.0005   0.0876   0.1479   0.0004   0.1472   0.0129 1865.29     0.07     0.08     0.19     0.15
  12 175 1822.01 1884.96 1945.81   0.0365   0.0002   0.0349   0.0002   0.0363   0.0350   0.0363   0.0350   0.0875   0.0002   0.0161   0.0004   0.0877   0.1458   0.0003   0.1460   0.0155 2001.26     0.17     0.12     0.01     0.13
  13 175 1957.41 2020.64 2082.00   0.0340   0.0002   0.0341   0.0002   0.0345   0.0346   0.0345   0.0346   0.0860   0.0002   0.0154   0.0004   0.0856   0.1441   0.0003   0.1438   0.0138 2137.77     0.04     0.18     0.10    -0.06
  14 175 2093.40 2156.83 2217.69   0.0338   0.0002   0.0327   0.0001   0.0336   0.0318   0.0336   0.0318   0.0839   0.0002   0.0178   0.0004   0.0838   0.1400   0.0003   0.1395   0.0189 2273.52     0.12    -0.02    -0.01    -0.01
  15 175 2228.67 2292.06 2352.62   0.0312   0.0001   0.0295   0.0001   0.0305   0.0296   0.0305   0.0296   0.0821   0.0002   0.0220   0.0003   0.0812   0.1368   0.0003   0.1370   0.0209 2407.65     0.12    -0.04    -0.34    -0.49
  16 175 2363.16 2426.05 2486.59   0.0294   0.0001   0.0294   0.0001   0.0297   0.0293   0.0297   0.0293   0.0787   0.0002   0.0185   0.0003   0.0783   0.1344   0.0003   0.1337   0.0176 2541.71    -0.33    -0.45    -0.69    -0.98
  17 175 2496.83 2560.23 2620.99   0.0287   0.0001   0.0275   0.0001   0.0280   0.0267   0.0280   0.0267   0.0774   0.0002   0.0186   0.0003   0.0766   0.1310   0.0003   0.1307   0.0197 2676.23    -0.61    -1.02    -1.28    -1.43
  18 175 2630.91 2694.91 2756.48   0.0264   0.0001   0.0258   0.0001   0.0260   0.0260   0.0260   0.0260   0.0748   0.0002   0.0192   0.0003   0.0740   0.1280   0.0002   0.1281   0.0181 2811.46    -1.21    -1.50    -1.94    -2.22
  19 175 2766.14 2830.45 2892.25   0.0255   0.0001   0.0251   0.0001   0.0258   0.0249   0.0258   0.0249   0.0719   0.0002   0.0193   0.0003   0.0715   0.1244   0.0002   0.1238   0.0185 2947.07    -1.93    -2.22    -2.60    -3.01
  20 175 2901.64 2966.47 3028.44   0.0242   0.0001   0.0230   0.0001   0.0238   0.0228   0.0238   0.0228   0.0700   0.0002   0.0211   0.0003   0.0693   0.1207   0.0002   0.1205   0.0211 3082.43    -2.55    -3.09    -3.62    -3.96
  21 175 3037.47 3102.31 3164.68   0.0225   0.0001   0.0222   0.0001   0.0228   0.0229   0.0228   0.0229   0.0668   0.0002   0.0200   0.0003   0.0665   0.1172   0.0002   0.1172   0.0182 3217.90    -3.65    -4.07    -4.72    -5.19
  22 175 3173.46 3238.53 3300.99   0.0219   0.0001   0.0212   0.0001   0.0224   0.0213   0.0224   0.0213   0.0647   0.0002   0.0190   0.0004   0.0645   0.1135   0.0002   0.1134   0.0192 3353.68    -4.78    -5.31    -5.80    -6.25
  23 175 3309.49 3375.03 3437.95   0.0203   0.0002   0.0198   0.0002   0.0205   0.0203   0.0205   0.0203   0.0623   0.0002   0.0205   0.0004   0.0625   0.1103   0.0003   0.1106   0.0191 3489.70    -5.90    -6.41    -7.09    -7.50
  24 175 3446.18 3511.85 3575.14   0.0197   0.0002   0.0194   0.0002   0.0203   0.0201   0.0203   0.0201   0.0607   0.0003   0.0184   0.0006   0.0602   0.1077   0.0005   0.1071   0.0174 3626.28    -7.09    -7.54    -8.11    -8.68
  25 175 3583.14 3649.23 3712.63   0.0189   0.0003   0.0184   0.0003   0.0193   0.0184   0.0193   0.0184   0.0579   0.0004   0.0183   0.0008   0.0585   0.1041   0.0007   0.1038   0.0195 3762.99    -8.24    -8.77    -9.10    -9.76
