   log(Nx) mass frac present     atomic mass  numb frac  
 C   8.460  0.184173 0.000288403 12.011000 0.2665091
 N   7.830  0.050348 0.000067608 14.006700 0.0624758
 O   8.690  0.416629 0.000489779 15.999400 0.4525974
 Ne  8.060  0.123182 0.000114815 20.179001 0.1060992
 Na  6.220  0.002029 0.000001660 22.989771 0.0015336
 Mg  7.550  0.045850 0.000035481 24.305000 0.0327878
 Al  6.430  0.003861 0.000002692 26.981541 0.0024872
 Si  7.510  0.048320 0.000032359 28.085501 0.0299028
 P   5.410  0.000423 0.000000257 30.973761 0.0002375
 S   7.120  0.022470 0.000013183 32.060001 0.0121818
 Cl  5.310  0.000385 0.000000204 35.452999 0.0001887
 Ar  6.380  0.005095 0.000002399 39.948002 0.0022167
 K   5.070  0.000244 0.000000117 39.098301 0.0001086
 Ca  6.300  0.004252 0.000001995 40.080002 0.0018438
 Ti  4.970  0.000238 0.000000093 47.900002 0.0000862
 Cr  5.620  0.001152 0.000000417 51.995998 0.0003852
 Mn  5.420  0.000768 0.000000263 54.938000 0.0002431
 Fe  7.460  0.085634 0.000028840 55.847000 0.0266509
 Ni  6.200  0.004946 0.000001585 58.700001 0.0014646

CCCCCCC
Subroutines mainopac.f, alexop.f, and opal95.f are used to read low and high
temperature opacity tables and output opacity. Old version subroutines interpolated
between a given Z1 and Z2 for diffusion. These news subroutines can automaticly 
choose Zi determined by zpa(i).
