 
element atomic-mass Nx   mass-frac numb-frac  
 C   12.011000  8.500002  0.180125  0.260408
 N   14.006700  7.860002  0.048120  0.059656
 O   15.999400  8.760002  0.436615  0.473865
 Ne  20.179001  8.070003  0.112433  0.096751
 Na  22.989771  6.309915  0.002226  0.001681
 Mg  24.305000  7.560004  0.041850  0.029899
 Al  26.981541  6.480023  0.003864  0.002487
 Si  28.085501  7.549998  0.047258  0.029218
 P   30.973761  5.459096  0.000423  0.000237
 S   32.060001  7.150002  0.021476  0.011632
 Cl  35.452999  5.260439  0.000306  0.000150
 Ar  39.948002  6.520033  0.006274  0.002727
 K   39.098301  5.109653  0.000239  0.000106
 Ca  40.080002  6.329860  0.004062  0.001760
 Ti  47.900002  4.941680  0.000199  0.000072
 Cr  51.995998  5.669808  0.001153  0.000385
 Mn  54.938000  5.509229  0.000842  0.000266
 Fe  55.847000  7.520001  0.087699  0.027268
 Ni  58.700001  6.239987  0.004837  0.001431


